,cosmic_id,assay_name
910910,910910,5500994173212120213068_A01
1287381,1287381,5500994158987071513209_A01
906862,906862,5500994172383112813929_A01
753575,753575,5500994158987071513202_A01
1240179,1240179,5500994158987071513207_A01
908125,908125,5500994172383112813928_A01
1240183,1240183,5500994172383112813930_A01
910566,910566,5500994172948120113978_A01
1660035,1660035,5500994173212120213068_A02
687983,687983,5500994157493061613625_A02
910784,910784,5500994158987071513209_A02
753554,753554,5500994172383112813929_A02
909975,909975,5500994158987071513202_A02
753596,753596,5500994158987071513207_A02
905984,905984,5500994172383112813928_A02
909696,909696,5500994158987071513201_A02
687820,687820,5500994172383112813930_A02
1240181,1240181,5500994172948120113978_A02
909715,909715,5500994173212120213068_A03
910927,910927,5500994157493061613625_A03
1290722,1290722,5500994172383112813929_A03
1240173,1240173,5500994158987071513207_A03
909743,909743,5500994172383112813928_A03
1240210,1240210,5500994158987071513201_A03
687815,687815,5500994172383112813930_A03
688014,688014,5500994172948120113978_A03
1295740,1295740,5500994173212120213068_A04
1240138,1240138,5500994157493061613625_A04
924104,924104,5500994158987071513209_A04
924108,924108,5500994172383112813929_A04
907279,907279,5500994158987071513202_A04
687588,687588,5500994158987071513207_A04
753572,753572,5500994172383112813928_A04
910544,910544,5500994158987071513201_A04
753605,753605,5500994172383112813930_A04
924241,924241,5500994172948120113978_A04
907281,907281,5500994173212120213068_A05
1240139,1240139,5500994157493061613625_A05
906801,906801,5500994158987071513209_A05
753546,753546,5500994172383112813929_A05
946361,946361,5500994158987071513202_A05
1299078,1299078,5500994158987071513207_A05
909976,909976,5500994172383112813928_A05
925347,925347,5500994158987071513201_A05
925341,925341,5500994172383112813930_A05
906823,906823,5500994172948120113978_A05
906864,906864,5500994173212120213068_A06
906792,906792,5500994157493061613625_A06
753538,753538,5500994158987071513209_A06
946370,946370,5500994172383112813929_A06
907796,907796,5500994158987071513202_A06
909905,909905,5500994158987071513207_A06
909720,909720,5500994172383112813928_A06
1240206,1240206,5500994158987071513201_A06
908444,908444,5500994172383112813930_A06
1322213,1322213,5500994172948120113978_A06
909974,909974,5500994173212120213068_A07
910688,910688,5500994157493061613625_A07
906820,906820,5500994158987071513209_A07
949165,949165,5500994172383112813929_A07
753588,753588,5500994158987071513202_A07
753621,753621,5500994158987071513207_A07
907290,907290,5500994172383112813928_A07
724868,724868,5500994158987071513201_A07
908455,908455,5500994172383112813930_A07
905955,905955,5500994172948120113978_A07
1503362,1503362,5500994173212120213068_A08
1240135,1240135,5500994157493061613625_A08
910852,910852,5500994158987071513209_A08
905938,905938,5500994172383112813929_A08
1298226,1298226,5500994158987071513202_A08
753623,753623,5500994158987071513207_A08
907050,907050,5500994172383112813928_A08
724866,724866,5500994158987071513201_A08
949174,949174,5500994172383112813930_A08
925340,925340,5500994173212120213068_A09
1290812,1290812,5500994157493061613625_A09
753547,753547,5500994158987071513209_A09
749714,749714,5500994172383112813929_A09
906868,906868,5500994158987071513202_A09
930297,930297,5500994158987071513207_A09
909754,909754,5500994172383112813928_A09
687995,687995,5500994158987071513201_A09
908449,908449,5500994172383112813930_A09
905957,905957,5500994172948120113978_A09
907045,907045,5500994157493061613625_A10
906807,906807,5500994158987071513209_A10
907053,907053,5500994172383112813929_A10
906873,906873,5500994158987071513202_A10
909709,909709,5500994158987071513207_A10
905973,905973,5500994172383112813928_A10
910548,910548,5500994158987071513201_A10
1330985,1330985,5500994172383112813930_A10
713869,713869,5500994172948120113978_A10
906861,906861,5500994157493061613625_A11
906839,906839,5500994158987071513209_A11
1290906,1290906,5500994172383112813929_A11
1240216,1240216,5500994158987071513207_A11
910549,910549,5500994158987071513201_A11
908473,908473,5500994172383112813930_A11
1480364,1480364,5500994172948120113978_A11
906830,906830,5500994157493061613625_A12
906853,906853,5500994158987071513209_A12
1303900,1303900,5500994172383112813929_A12
717431,717431,5500994158987071513207_A12
1240157,1240157,5500994172383112813928_A12
905991,905991,5500994158987071513201_A12
909749,909749,5500994172383112813930_A12
910706,910706,5500994172948120113978_A12
924248,924248,5500994173212120213068_B01
909750,909750,5500994157493061613625_B01
910924,910924,5500994158987071513209_B01
684059,684059,5500994172383112813929_B01
753594,753594,5500994158987071513207_B01
905960,905960,5500994172383112813928_B01
910401,910401,5500994158987071513201_B01
687800,687800,5500994172383112813930_B01
1480374,1480374,5500994172948120113978_B01
1659928,1659928,5500994173212120213068_B02
1240137,1240137,5500994157493061613625_B02
1295741,1295741,5500994172383112813929_B02
907300,907300,5500994158987071513202_B02
971777,971777,5500994158987071513207_B02
724872,724872,5500994172383112813928_B02
1524416,1524416,5500994158987071513201_B02
687821,687821,5500994172383112813930_B02
1322212,1322212,5500994172948120113978_B02
905985,905985,5500994173212120213068_B03
753552,753552,5500994157493061613625_B03
905950,905950,5500994158987071513209_B03
906804,906804,5500994172383112813929_B03
907276,907276,5500994158987071513202_B03
1330947,1330947,5500994158987071513207_B03
684072,684072,5500994172383112813928_B03
971774,971774,5500994158987071513201_B03
688011,688011,5500994172383112813930_B03
1330964,1330964,5500994172948120113978_B03
910702,910702,5500994173212120213068_B04
907065,907065,5500994157493061613625_B04
906763,906763,5500994158987071513209_B04
907277,907277,5500994158987071513202_B04
909777,909777,5500994158987071513207_B04
1240166,1240166,5500994172383112813928_B04
687455,687455,5500994158987071513201_B04
905967,905967,5500994172383112813930_B04
1297449,1297449,5500994172948120113978_B04
907318,907318,5500994173212120213068_B05
925338,925338,5500994157493061613625_B05
906696,906696,5500994158987071513209_B05
906836,906836,5500994172383112813929_B05
753586,753586,5500994158987071513202_B05
1299081,1299081,5500994158987071513207_B05
1298215,1298215,5500994172383112813928_B05
925348,925348,5500994158987071513201_B05
1290795,1290795,5500994173212120213068_B06
1290809,1290809,5500994157493061613625_B06
905963,905963,5500994158987071513209_B06
906848,906848,5500994172383112813929_B06
1330935,1330935,5500994158987071513202_B06
909904,909904,5500994158987071513207_B06
1298141,1298141,5500994172383112813928_B06
1240207,1240207,5500994158987071513201_B06
908446,908446,5500994172383112813930_B06
907273,907273,5500994172948120113978_B06
909262,909262,5500994173212120213068_B07
949158,949158,5500994157493061613625_B07
906818,906818,5500994158987071513209_B07
949166,949166,5500994172383112813929_B07
910694,910694,5500994158987071513202_B07
753622,753622,5500994158987071513207_B07
753599,753599,5500994158987071513201_B07
1330982,1330982,5500994172383112813930_B07
1298353,1298353,5500994172948120113978_B07
908461,908461,5500994173212120213068_B08
924110,924110,5500994157493061613625_B08
1290765,1290765,5500994158987071513209_B08
907061,907061,5500994172383112813929_B08
907323,907323,5500994158987071513202_B08
946353,946353,5500994158987071513207_B08
1240146,1240146,5500994172383112813928_B08
1240184,1240184,5500994158987071513201_B08
687787,687787,5500994172948120113978_B08
724870,724870,5500994173212120213068_B09
1240134,1240134,5500994157493061613625_B09
910692,910692,5500994158987071513209_B09
907072,907072,5500994172383112813929_B09
910932,910932,5500994158987071513202_B09
1331032,1331032,5500994158987071513207_B09
909757,909757,5500994172383112813928_B09
687798,687798,5500994158987071513201_B09
1480371,1480371,5500994172383112813930_B09
907172,907172,5500994157493061613625_B10
946368,946368,5500994158987071513209_B10
1298136,1298136,5500994172383112813929_B10
907291,907291,5500994158987071513202_B10
909738,909738,5500994158987071513207_B10
753559,753559,5500994172383112813928_B10
910947,910947,5500994158987071513201_B10
1330984,1330984,5500994172383112813930_B10
687452,687452,5500994157493061613625_B11
907295,907295,5500994158987071513209_B11
1240149,1240149,5500994172383112813929_B11
910948,910948,5500994158987071513202_B11
687457,687457,5500994158987071513207_B11
907270,907270,5500994172383112813928_B11
909248,909248,5500994158987071513201_B11
1240186,1240186,5500994172383112813930_B11
1503364,1503364,5500994172948120113978_B11
905947,905947,5500994157493061613625_B12
906855,906855,5500994158987071513209_B12
905971,905971,5500994172383112813929_B12
688087,688087,5500994158987071513207_B12
1240158,1240158,5500994172383112813928_B12
1240198,1240198,5500994158987071513201_B12
909711,909711,5500994172383112813930_B12
946357,946357,5500994173212120213068_C01
1298134,1298134,5500994157493061613625_C01
687561,687561,5500994158987071513209_C01
911905,911905,5500994172383112813929_C01
907319,907319,5500994158987071513202_C01
908156,908156,5500994158987071513207_C01
908121,908121,5500994172383112813928_C01
687807,687807,5500994172383112813930_C01
724839,724839,5500994172948120113978_C01
907058,907058,5500994157493061613625_C02
906793,906793,5500994158987071513209_C02
1287706,1287706,5500994172383112813929_C02
753574,753574,5500994158987071513202_C02
753595,753595,5500994158987071513207_C02
909713,909713,5500994172383112813928_C02
1330995,1330995,5500994158987071513201_C02
1240187,1240187,5500994172383112813930_C02
1298357,1298357,5500994172948120113978_C02
910935,910935,5500994173212120213068_C03
1290814,1290814,5500994157493061613625_C03
910933,910933,5500994158987071513209_C03
753531,753531,5500994172383112813929_C03
1327774,1327774,5500994158987071513202_C03
905958,905958,5500994158987071513207_C03
1240219,1240219,5500994172383112813928_C03
910861,910861,5500994158987071513201_C03
1240189,1240189,5500994172383112813930_C03
1240144,1240144,5500994172948120113978_C03
905975,905975,5500994157493061613625_C04
753616,753616,5500994158987071513209_C04
1290769,1290769,5500994172383112813929_C04
1298219,1298219,5500994158987071513202_C04
909778,909778,5500994158987071513207_C04
909704,909704,5500994158987071513201_C04
722066,722066,5500994172383112813930_C04
907280,907280,5500994173212120213068_C05
905939,905939,5500994157493061613625_C05
905951,905951,5500994158987071513209_C05
946369,946369,5500994172383112813929_C05
907786,907786,5500994158987071513202_C05
1240226,1240226,5500994158987071513207_C05
907282,907282,5500994172383112813928_C05
1240201,1240201,5500994158987071513201_C05
1240192,1240192,5500994172383112813930_C05
1331025,1331025,5500994172948120113978_C05
910704,910704,5500994157493061613625_C06
910943,910943,5500994158987071513209_C06
906849,906849,5500994172383112813929_C06
924239,924239,5500994158987071513202_C06
909907,909907,5500994158987071513207_C06
907062,907062,5500994172383112813928_C06
909260,909260,5500994158987071513201_C06
908158,908158,5500994172383112813930_C06
1290767,1290767,5500994172948120113978_C06
1330993,1330993,5500994173212120213068_C07
908460,908460,5500994157493061613625_C07
910689,910689,5500994158987071513209_C07
905970,905970,5500994172383112813929_C07
1240169,1240169,5500994158987071513202_C07
1240222,1240222,5500994158987071513207_C07
907059,907059,5500994172383112813928_C07
684681,684681,5500994158987071513201_C07
949178,949178,5500994172383112813930_C07
1503368,1503368,5500994172948120113978_C07
909194,909194,5500994173212120213068_C08
909745,909745,5500994157493061613625_C08
910915,910915,5500994158987071513209_C08
907285,907285,5500994172383112813929_C08
906863,906863,5500994158987071513202_C08
909770,909770,5500994158987071513207_C08
907064,907064,5500994172383112813928_C08
908475,908475,5500994158987071513201_C08
908450,908450,5500994172383112813930_C08
908135,908135,5500994173212120213068_C09
907173,907173,5500994157493061613625_C09
906808,906808,5500994158987071513209_C09
907299,907299,5500994158987071513202_C09
905982,905982,5500994158987071513207_C09
908463,908463,5500994158987071513201_C09
1503363,1503363,5500994172383112813930_C09
1330950,1330950,5500994172948120113978_C09
905936,905936,5500994157493061613625_C10
1290797,1290797,5500994158987071513209_C10
907055,907055,5500994172383112813929_C10
906871,906871,5500994158987071513202_C10
724879,724879,5500994158987071513207_C10
1327771,1327771,5500994172383112813928_C10
905978,905978,5500994158987071513201_C10
1330983,1330983,5500994172383112813930_C10
1240193,1240193,5500994172948120113978_C10
